trial,run,block,condition,judgement,context,word1,word2,correct_resp,instr_start
1,17,1,fixation,fixation,fixation,fixation,fixation,0,1
2,17,1,orthographic,identity,metronome_only,jolts,jolts,3,1
3,17,1,orthographic,identity,metronome_only,slick,faint,4,0
4,17,1,orthographic,identity,metronome_only,begun,stall,4,0
5,17,1,orthographic,identity,metronome_only,baggy,baggy,3,0
6,17,2,fixation,fixation,fixation,fixation,fixation,0,1
7,17,2,phonological,rhyming,metronome_only,nover,yover,3,1
8,17,2,phonological,rhyming,metronome_only,lasks,yasks,3,0
9,17,2,phonological,rhyming,metronome_only,lult,balg,4,0
10,17,2,phonological,rhyming,metronome_only,ealt,moath,4,0
11,17,3,fixation,fixation,fixation,fixation,fixation,0,1
12,17,3,false_font,identity,control,plame,plame,3,1
13,17,3,false_font,identity,control,liden,fiden,4,0
14,17,3,false_font,identity,control,gord,hord,4,0
15,17,3,false_font,identity,control,pivot,civot,4,0
16,17,4,fixation,fixation,fixation,fixation,fixation,0,1
17,17,4,orthographic,identity,cvc_metronome,curbs,sewer,4,1
18,17,4,orthographic,identity,cvc_metronome,booth,egos,4,0
19,17,4,orthographic,identity,cvc_metronome,start,grant,4,0
20,17,4,orthographic,identity,cvc_metronome,huge,huge,3,0
21,17,5,fixation,fixation,fixation,fixation,fixation,0,1
22,17,5,phonological,rhyming,cvc_only,passy,glasy,3,1
23,17,5,phonological,rhyming,cvc_only,coga,lasty,4,0
24,17,5,phonological,rhyming,cvc_only,wreash,sleash,3,0
25,17,5,phonological,rhyming,cvc_only,stunf,brunf,3,0
26,17,6,fixation,fixation,fixation,fixation,fixation,0,1
27,17,6,phonological,rhyming,cvc_metronome,zars,twarm,4,1
28,17,6,phonological,rhyming,cvc_metronome,goun,velk,4,0
29,17,6,phonological,rhyming,cvc_metronome,fench,lench,3,0
30,17,6,phonological,rhyming,cvc_metronome,jarl,grebs,4,0
31,17,7,fixation,fixation,fixation,fixation,fixation,0,1
32,17,7,orthographic,identity,cvc_only,high,high,3,1
33,17,7,orthographic,identity,cvc_only,ream,ream,3,0
34,17,7,orthographic,identity,cvc_only,goof,goof,3,0
35,17,7,orthographic,identity,cvc_only,crate,reel,4,0
36,17,8,fixation,fixation,fixation,fixation,fixation,0,1
37,17,8,false_font,identity,control,bunny,bunny,3,1
38,17,8,false_font,identity,control,payee,sayee,4,0
39,17,8,false_font,identity,control,poars,uoars,4,0
40,17,8,false_font,identity,control,zall,zall,3,0
