trial,run,block,condition,judgement,context,word1,word2,correct_resp,instr_start
1,13,1,fixation,fixation,fixation,fixation,fixation,0,1
2,13,1,phonological,rhyming,cvc_only,zynt,synt,3,1
3,13,1,phonological,rhyming,cvc_only,vetty,metty,3,0
4,13,1,phonological,rhyming,cvc_only,laul,snash,4,0
5,13,1,phonological,rhyming,cvc_only,leny,wrem,4,0
6,13,2,fixation,fixation,fixation,fixation,fixation,0,1
7,13,2,phonological,rhyming,metronome_only,staw,shig,4,1
8,13,2,phonological,rhyming,metronome_only,nunge,crunge,3,0
9,13,2,phonological,rhyming,metronome_only,litch,fitch,3,0
10,13,2,phonological,rhyming,metronome_only,nary,zary,3,0
11,13,3,fixation,fixation,fixation,fixation,fixation,0,1
12,13,3,orthographic,identity,cvc_metronome,sulk,sulk,3,1
13,13,3,orthographic,identity,cvc_metronome,bowel,swans,4,0
14,13,3,orthographic,identity,cvc_metronome,ever,ever,3,0
15,13,3,orthographic,identity,cvc_metronome,coals,glue,4,0
16,13,4,fixation,fixation,fixation,fixation,fixation,0,1
17,13,4,false_font,identity,control,puses,cuses,4,1
18,13,4,false_font,identity,control,tiker,siker,4,0
19,13,4,false_font,identity,control,joses,eoses,4,0
20,13,4,false_font,identity,control,looth,looth,3,0
21,13,5,fixation,fixation,fixation,fixation,fixation,0,1
22,13,5,false_font,identity,control,toga,toga,3,1
23,13,5,false_font,identity,control,alhen,alhen,3,0
24,13,5,false_font,identity,control,ragi,qagi,4,0
25,13,5,false_font,identity,control,flars,flars,3,0
26,13,6,fixation,fixation,fixation,fixation,fixation,0,1
27,13,6,orthographic,identity,metronome_only,watt,town,4,1
28,13,6,orthographic,identity,metronome_only,shoes,leaf,4,0
29,13,6,orthographic,identity,metronome_only,golf,raft,4,0
30,13,6,orthographic,identity,metronome_only,break,break,3,0
31,13,7,fixation,fixation,fixation,fixation,fixation,0,1
32,13,7,orthographic,identity,cvc_only,brink,brink,3,1
33,13,7,orthographic,identity,cvc_only,wool,saga,4,0
34,13,7,orthographic,identity,cvc_only,howls,howls,3,0
35,13,7,orthographic,identity,cvc_only,hulk,hulk,3,0
36,13,8,fixation,fixation,fixation,fixation,fixation,0,1
37,13,8,phonological,rhyming,cvc_metronome,bute,flice,4,1
38,13,8,phonological,rhyming,cvc_metronome,arns,blee,4,0
39,13,8,phonological,rhyming,cvc_metronome,blav,gork,4,0
40,13,8,phonological,rhyming,cvc_metronome,pafek,tafek,3,0
