trial,run,block,condition,judgement,context,word1,word2,correct_resp,instr_start
1,16,1,fixation,fixation,fixation,fixation,fixation,0,1
2,16,1,false_font,identity,control,sword,sword,3,1
3,16,1,false_font,identity,control,sool,wool,4,0
4,16,1,false_font,identity,control,damn,qamn,4,0
5,16,1,false_font,identity,control,bossy,fossy,4,0
6,16,2,fixation,fixation,fixation,fixation,fixation,0,1
7,16,2,phonological,rhyming,metronome_only,tynk,synk,3,1
8,16,2,phonological,rhyming,metronome_only,allet,wray,4,0
9,16,2,phonological,rhyming,metronome_only,vokem,keach,4,0
10,16,2,phonological,rhyming,metronome_only,chig,trass,4,0
11,16,3,fixation,fixation,fixation,fixation,fixation,0,1
12,16,3,false_font,identity,control,furl,furl,3,1
13,16,3,false_font,identity,control,elam,elam,3,0
14,16,3,false_font,identity,control,prip,krip,4,0
15,16,3,false_font,identity,control,dupe,dupe,3,0
16,16,4,fixation,fixation,fixation,fixation,fixation,0,1
17,16,4,phonological,rhyming,cvc_only,birks,turch,4,1
18,16,4,phonological,rhyming,cvc_only,rony,seim,4,0
19,16,4,phonological,rhyming,cvc_only,malk,valk,3,0
20,16,4,phonological,rhyming,cvc_only,lolls,yolls,3,0
21,16,5,fixation,fixation,fixation,fixation,fixation,0,1
22,16,5,phonological,rhyming,cvc_metronome,cile,clome,4,1
23,16,5,phonological,rhyming,cvc_metronome,glan,blan,3,0
24,16,5,phonological,rhyming,cvc_metronome,rools,gools,3,0
25,16,5,phonological,rhyming,cvc_metronome,morth,korth,3,0
26,16,6,fixation,fixation,fixation,fixation,fixation,0,1
27,16,6,orthographic,identity,cvc_only,blur,couch,4,1
28,16,6,orthographic,identity,cvc_only,chick,chick,3,0
29,16,6,orthographic,identity,cvc_only,trill,trill,3,0
30,16,6,orthographic,identity,cvc_only,omen,blue,4,0
31,16,7,fixation,fixation,fixation,fixation,fixation,0,1
32,16,7,orthographic,identity,metronome_only,gulf,gulf,3,1
33,16,7,orthographic,identity,metronome_only,yawns,stag,4,0
34,16,7,orthographic,identity,metronome_only,rout,brew,4,0
35,16,7,orthographic,identity,metronome_only,saber,chaos,4,0
36,16,8,fixation,fixation,fixation,fixation,fixation,0,1
37,16,8,orthographic,identity,cvc_metronome,stain,stain,3,1
38,16,8,orthographic,identity,cvc_metronome,fuel,fuel,3,0
39,16,8,orthographic,identity,cvc_metronome,oils,teem,4,0
40,16,8,orthographic,identity,cvc_metronome,milks,milks,3,0
