trial,run,block,condition,judgement,context,word1,word2,correct_resp,instr_start
1,9,1,fixation,fixation,fixation,fixation,fixation,0,1
2,9,1,false_font,identity,control,hasp,hasp,3,1
3,9,1,false_font,identity,control,quip,quip,3,0
4,9,1,false_font,identity,control,blits,blits,3,0
5,9,1,false_font,identity,control,chipe,hhipe,4,0
6,9,2,fixation,fixation,fixation,fixation,fixation,0,1
7,9,2,phonological,rhyming,metronome_only,clurl,turl,3,1
8,9,2,phonological,rhyming,metronome_only,siars,diars,3,0
9,9,2,phonological,rhyming,metronome_only,srose,crange,4,0
10,9,2,phonological,rhyming,metronome_only,swult,lult,3,0
11,9,3,fixation,fixation,fixation,fixation,fixation,0,1
12,9,3,false_font,identity,control,dras,dras,3,1
13,9,3,false_font,identity,control,voked,eoked,4,0
14,9,3,false_font,identity,control,pret,pret,3,0
15,9,3,false_font,identity,control,rowel,xowel,4,0
16,9,4,fixation,fixation,fixation,fixation,fixation,0,1
17,9,4,orthographic,identity,metronome_only,earl,earl,3,1
18,9,4,orthographic,identity,metronome_only,frank,hurls,4,0
19,9,4,orthographic,identity,metronome_only,tram,silo,4,0
20,9,4,orthographic,identity,metronome_only,never,mules,4,0
21,9,5,fixation,fixation,fixation,fixation,fixation,0,1
22,9,5,orthographic,identity,cvc_metronome,monk,monk,3,1
23,9,5,orthographic,identity,cvc_metronome,join,join,3,0
24,9,5,orthographic,identity,cvc_metronome,arts,knot,4,0
25,9,5,orthographic,identity,cvc_metronome,birth,hint,4,0
26,9,6,fixation,fixation,fixation,fixation,fixation,0,1
27,9,6,orthographic,identity,cvc_only,kiss,kiss,3,1
28,9,6,orthographic,identity,cvc_only,navy,navy,3,0
29,9,6,orthographic,identity,cvc_only,basis,curb,4,0
30,9,6,orthographic,identity,cvc_only,jeers,jeers,3,0
31,9,7,fixation,fixation,fixation,fixation,fixation,0,1
32,9,7,phonological,rhyming,cvc_only,rasy,blasy,3,1
33,9,7,phonological,rhyming,cvc_only,bearn,vearn,3,0
34,9,7,phonological,rhyming,cvc_only,ciell,farvs,4,0
35,9,7,phonological,rhyming,cvc_only,vural,slih,4,0
36,9,8,fixation,fixation,fixation,fixation,fixation,0,1
37,9,8,phonological,rhyming,cvc_metronome,lart,fial,4,1
38,9,8,phonological,rhyming,cvc_metronome,mive,grack,4,0
39,9,8,phonological,rhyming,cvc_metronome,loars,gaste,4,0
40,9,8,phonological,rhyming,cvc_metronome,riker,ziker,3,0
