trial,run,block,condition,judgement,context,word1,word2,correct_resp,instr_start
1,4,1,fixation,fixation,fixation,fixation,fixation,0,1
2,4,1,orthographic,identity,metronome_only,leach,leach,3,1
3,4,1,orthographic,identity,metronome_only,still,still,3,0
4,4,1,orthographic,identity,metronome_only,thin,thaw,4,0
5,4,1,orthographic,identity,metronome_only,stay,than,4,0
6,4,2,fixation,fixation,fixation,fixation,fixation,0,1
7,4,2,false_font,identity,control,toads,toads,3,1
8,4,2,false_font,identity,control,sweep,sweep,3,0
9,4,2,false_font,identity,control,huge,luge,4,0
10,4,2,false_font,identity,control,tyro,tyro,3,0
11,4,3,fixation,fixation,fixation,fixation,fixation,0,1
12,4,3,phonological,rhyming,cvc_metronome,munc,fanty,4,1
13,4,3,phonological,rhyming,cvc_metronome,yant,vant,3,0
14,4,3,phonological,rhyming,cvc_metronome,crove,trem,4,0
15,4,3,phonological,rhyming,cvc_metronome,rovet,zovet,3,0
16,4,4,fixation,fixation,fixation,fixation,fixation,0,1
17,4,4,phonological,rhyming,cvc_only,satty,racet,4,1
18,4,4,phonological,rhyming,cvc_only,blease,seaf,4,0
19,4,4,phonological,rhyming,cvc_only,graw,kraw,3,0
20,4,4,phonological,rhyming,cvc_only,helts,brike,4,0
21,4,5,fixation,fixation,fixation,fixation,fixation,0,1
22,4,5,false_font,identity,control,hoax,hoax,3,1
23,4,5,false_font,identity,control,curb,lurb,4,0
24,4,5,false_font,identity,control,kegs,pegs,4,0
25,4,5,false_font,identity,control,squad,bquad,4,0
26,4,6,fixation,fixation,fixation,fixation,fixation,0,1
27,4,6,orthographic,identity,cvc_only,brawl,brawl,3,1
28,4,6,orthographic,identity,cvc_only,fool,fool,3,0
29,4,6,orthographic,identity,cvc_only,bomb,crab,4,0
30,4,6,orthographic,identity,cvc_only,plate,plate,3,0
31,4,7,fixation,fixation,fixation,fixation,fixation,0,1
32,4,7,orthographic,identity,cvc_metronome,fairy,hoax,4,1
33,4,7,orthographic,identity,cvc_metronome,jeer,jeer,3,0
34,4,7,orthographic,identity,cvc_metronome,feats,hobo,4,0
35,4,7,orthographic,identity,cvc_metronome,safer,tool,4,0
36,4,8,fixation,fixation,fixation,fixation,fixation,0,1
37,4,8,phonological,rhyming,metronome_only,veirs,keirs,3,1
38,4,8,phonological,rhyming,metronome_only,wouse,sowel,4,0
39,4,8,phonological,rhyming,metronome_only,atose,otose,3,0
40,4,8,phonological,rhyming,metronome_only,zoir,koir,3,0
