trial,run,block,condition,judgement,context,word1,word2,correct_resp,instr_start
1,17,1,fixation,fixation,fixation,fixation,fixation,0,1
2,17,1,orthographic,identity,cvc_only,womb,slate,4,1
3,17,1,orthographic,identity,cvc_only,jives,tours,4,0
4,17,1,orthographic,identity,cvc_only,tuba,tuba,3,0
5,17,1,orthographic,identity,cvc_only,kites,tonic,4,0
6,17,2,fixation,fixation,fixation,fixation,fixation,0,1
7,17,2,orthographic,identity,metronome_only,chum,coax,4,1
8,17,2,orthographic,identity,metronome_only,task,tanks,4,0
9,17,2,orthographic,identity,metronome_only,mayo,mayo,3,0
10,17,2,orthographic,identity,metronome_only,raven,raven,3,0
11,17,3,fixation,fixation,fixation,fixation,fixation,0,1
12,17,3,phonological,rhyming,metronome_only,veam,jarm,4,1
13,17,3,phonological,rhyming,metronome_only,chike,shike,3,0
14,17,3,phonological,rhyming,metronome_only,blon,snits,4,0
15,17,3,phonological,rhyming,metronome_only,cired,slark,4,0
16,17,4,fixation,fixation,fixation,fixation,fixation,0,1
17,17,4,orthographic,identity,cvc_metronome,flare,flare,3,1
18,17,4,orthographic,identity,cvc_metronome,hurl,hurl,3,0
19,17,4,orthographic,identity,cvc_metronome,meek,meek,3,0
20,17,4,orthographic,identity,cvc_metronome,lust,took,4,0
21,17,5,fixation,fixation,fixation,fixation,fixation,0,1
22,17,5,false_font,identity,control,howl,powl,4,1
23,17,5,false_font,identity,control,runny,eunny,4,0
24,17,5,false_font,identity,control,lazy,mazy,4,0
25,17,5,false_font,identity,control,peags,peags,3,0
26,17,6,fixation,fixation,fixation,fixation,fixation,0,1
27,17,6,phonological,rhyming,cvc_only,fors,jors,3,1
28,17,6,phonological,rhyming,cvc_only,mozem,fozem,3,0
29,17,6,phonological,rhyming,cvc_only,trime,wunt,4,0
30,17,6,phonological,rhyming,cvc_only,zorj,corj,3,0
31,17,7,fixation,fixation,fixation,fixation,fixation,0,1
32,17,7,false_font,identity,control,daste,daste,3,1
33,17,7,false_font,identity,control,folds,xolds,4,0
34,17,7,false_font,identity,control,curve,murve,4,0
35,17,7,false_font,identity,control,snaps,snaps,3,0
36,17,8,fixation,fixation,fixation,fixation,fixation,0,1
37,17,8,phonological,rhyming,cvc_metronome,thiny,eack,4,1
38,17,8,phonological,rhyming,cvc_metronome,kroke,sroke,3,0
39,17,8,phonological,rhyming,cvc_metronome,toyal,prit,4,0
40,17,8,phonological,rhyming,cvc_metronome,slutch,nutch,3,0
