trial,run,block,condition,judgement,context,word1,word2,correct_resp,instr_start
1,17,1,fixation,fixation,fixation,fixation,fixation,0,1
2,17,1,orthographic,identity,metronome_only,mile,mile,3,1
3,17,1,orthographic,identity,metronome_only,shoe,tics,4,0
4,17,1,orthographic,identity,metronome_only,yawns,stag,4,0
5,17,1,orthographic,identity,metronome_only,blaze,blaze,3,0
6,17,2,fixation,fixation,fixation,fixation,fixation,0,1
7,17,2,false_font,identity,control,halg,halg,3,1
8,17,2,false_font,identity,control,dusky,jusky,4,0
9,17,2,false_font,identity,control,husky,dusky,4,0
10,17,2,false_font,identity,control,chefs,mhefs,4,0
11,17,3,fixation,fixation,fixation,fixation,fixation,0,1
12,17,3,orthographic,identity,cvc_only,blase,blase,3,1
13,17,3,orthographic,identity,cvc_only,jean,jean,3,0
14,17,3,orthographic,identity,cvc_only,rules,rules,3,0
15,17,3,orthographic,identity,cvc_only,vests,giver,4,0
16,17,4,fixation,fixation,fixation,fixation,fixation,0,1
17,17,4,orthographic,identity,cvc_metronome,glaze,bench,4,1
18,17,4,orthographic,identity,cvc_metronome,sought,flies,4,0
19,17,4,orthographic,identity,cvc_metronome,rolls,baths,4,0
20,17,4,orthographic,identity,cvc_metronome,zoos,zoos,3,0
21,17,5,fixation,fixation,fixation,fixation,fixation,0,1
22,17,5,false_font,identity,control,chips,chips,3,1
23,17,5,false_font,identity,control,damn,qamn,4,0
24,17,5,false_font,identity,control,bossy,fossy,4,0
25,17,5,false_font,identity,control,wost,wost,3,0
26,17,6,fixation,fixation,fixation,fixation,fixation,0,1
27,17,6,phonological,rhyming,cvc_only,fusty,custy,3,1
28,17,6,phonological,rhyming,cvc_only,rasty,scook,4,0
29,17,6,phonological,rhyming,cvc_only,slers,krers,3,0
30,17,6,phonological,rhyming,cvc_only,hoony,truny,3,0
31,17,7,fixation,fixation,fixation,fixation,fixation,0,1
32,17,7,phonological,rhyming,cvc_metronome,seils,calks,4,1
33,17,7,phonological,rhyming,cvc_metronome,vease,keams,4,0
34,17,7,phonological,rhyming,cvc_metronome,merky,lerky,3,0
35,17,7,phonological,rhyming,cvc_metronome,cile,clome,4,0
36,17,8,fixation,fixation,fixation,fixation,fixation,0,1
37,17,8,phonological,rhyming,metronome_only,woves,soves,3,1
38,17,8,phonological,rhyming,metronome_only,zurf,hurf,3,0
39,17,8,phonological,rhyming,metronome_only,grawn,fisp,4,0
40,17,8,phonological,rhyming,metronome_only,sark,freg,4,0
