trial,run,block,condition,judgement,context,word1,word2,correct_resp,instr_start
1,7,1,fixation,fixation,fixation,fixation,fixation,0,1
2,7,1,orthographic,identity,cvc_metronome,soil,soil,3,1
3,7,1,orthographic,identity,cvc_metronome,grab,grab,3,0
4,7,1,orthographic,identity,cvc_metronome,duet,mania,4,0
5,7,1,orthographic,identity,cvc_metronome,tubes,tubes,3,0
6,7,2,fixation,fixation,fixation,fixation,fixation,0,1
7,7,2,orthographic,identity,cvc_only,loaf,nosy,4,1
8,7,2,orthographic,identity,cvc_only,hoar,flaws,4,0
9,7,2,orthographic,identity,cvc_only,newer,quiz,4,0
10,7,2,orthographic,identity,cvc_only,chic,chic,3,0
11,7,3,fixation,fixation,fixation,fixation,fixation,0,1
12,7,3,false_font,identity,control,hoan,moan,4,1
13,7,3,false_font,identity,control,colo,colo,3,0
14,7,3,false_font,identity,control,geel,leel,4,0
15,7,3,false_font,identity,control,soup,aoup,4,0
16,7,4,fixation,fixation,fixation,fixation,fixation,0,1
17,7,4,phonological,rhyming,cvc_metronome,vook,feans,4,1
18,7,4,phonological,rhyming,cvc_metronome,krisk,neark,4,0
19,7,4,phonological,rhyming,cvc_metronome,lica,sica,3,0
20,7,4,phonological,rhyming,cvc_metronome,soal,joal,3,0
21,7,5,fixation,fixation,fixation,fixation,fixation,0,1
22,7,5,orthographic,identity,metronome_only,whig,whig,3,1
23,7,5,orthographic,identity,metronome_only,curve,ants,4,0
24,7,5,orthographic,identity,metronome_only,hairy,clown,4,0
25,7,5,orthographic,identity,metronome_only,mains,mains,3,0
26,7,6,fixation,fixation,fixation,fixation,fixation,0,1
27,7,6,phonological,rhyming,cvc_only,vuss,nuss,3,1
28,7,6,phonological,rhyming,cvc_only,fizer,nizer,3,0
29,7,6,phonological,rhyming,cvc_only,sool,mool,3,0
30,7,6,phonological,rhyming,cvc_only,thal,frook,4,0
31,7,7,fixation,fixation,fixation,fixation,fixation,0,1
32,7,7,false_font,identity,control,size,size,3,1
33,7,7,false_font,identity,control,dease,dease,3,0
34,7,7,false_font,identity,control,quad,quad,3,0
35,7,7,false_font,identity,control,frown,drown,4,0
36,7,8,fixation,fixation,fixation,fixation,fixation,0,1
37,7,8,phonological,rhyming,metronome_only,mefs,fleep,4,1
38,7,8,phonological,rhyming,metronome_only,furns,jurns,3,0
39,7,8,phonological,rhyming,metronome_only,vras,asir,4,0
40,7,8,phonological,rhyming,metronome_only,notel,flen,4,0
