trial,run,block,condition,judgement,context,word1,word2,correct_resp,instr_start
1,7,1,fixation,fixation,fixation,fixation,fixation,0,1
2,7,1,false_font,identity,control,size,size,3,1
3,7,1,false_font,identity,control,quad,quad,3,0
4,7,1,false_font,identity,control,frown,drown,4,0
5,7,1,false_font,identity,control,fact,eact,4,0
6,7,2,fixation,fixation,fixation,fixation,fixation,0,1
7,7,2,orthographic,identity,metronome_only,curve,ants,4,1
8,7,2,orthographic,identity,metronome_only,whig,whig,3,0
9,7,2,orthographic,identity,metronome_only,mains,mains,3,0
10,7,2,orthographic,identity,metronome_only,hairy,clown,4,0
11,7,3,fixation,fixation,fixation,fixation,fixation,0,1
12,7,3,phonological,rhyming,cvc_only,notel,flen,4,1
13,7,3,phonological,rhyming,cvc_only,furns,jurns,3,0
14,7,3,phonological,rhyming,cvc_only,mefs,fleep,4,0
15,7,3,phonological,rhyming,cvc_only,tlick,blick,3,0
16,7,4,fixation,fixation,fixation,fixation,fixation,0,1
17,7,4,orthographic,identity,cvc_only,lurk,lurk,3,1
18,7,4,orthographic,identity,cvc_only,wheel,glow,4,0
19,7,4,orthographic,identity,cvc_only,sores,sores,3,0
20,7,4,orthographic,identity,cvc_only,never,mules,4,0
21,7,5,fixation,fixation,fixation,fixation,fixation,0,1
22,7,5,phonological,rhyming,cvc_metronome,thet,khet,3,1
23,7,5,phonological,rhyming,cvc_metronome,vras,asir,4,0
24,7,5,phonological,rhyming,cvc_metronome,jable,trize,4,0
25,7,5,phonological,rhyming,cvc_metronome,siars,diars,3,0
26,7,6,fixation,fixation,fixation,fixation,fixation,0,1
27,7,6,phonological,rhyming,metronome_only,niss,smam,4,1
28,7,6,phonological,rhyming,metronome_only,srose,crange,4,0
29,7,6,phonological,rhyming,metronome_only,swult,lult,3,0
30,7,6,phonological,rhyming,metronome_only,clurl,turl,3,0
31,7,7,fixation,fixation,fixation,fixation,fixation,0,1
32,7,7,false_font,identity,control,dease,dease,3,1
33,7,7,false_font,identity,control,feaps,meaps,4,0
34,7,7,false_font,identity,control,vour,vour,3,0
35,7,7,false_font,identity,control,chun,bhun,4,0
36,7,8,fixation,fixation,fixation,fixation,fixation,0,1
37,7,8,orthographic,identity,cvc_metronome,truck,truck,3,1
38,7,8,orthographic,identity,cvc_metronome,earl,earl,3,0
39,7,8,orthographic,identity,cvc_metronome,frank,hurls,4,0
40,7,8,orthographic,identity,cvc_metronome,tram,silo,4,0
