trial,run,block,condition,judgement,context,word1,word2,correct_resp,instr_start
1,17,1,fixation,fixation,fixation,fixation,fixation,0,1
2,17,1,false_font,identity,control,drops,drops,3,1
3,17,1,false_font,identity,control,plus,plus,3,0
4,17,1,false_font,identity,control,payee,sayee,4,0
5,17,1,false_font,identity,control,lambs,jambs,4,0
6,17,2,fixation,fixation,fixation,fixation,fixation,0,1
7,17,2,orthographic,identity,metronome_only,skirt,honey,4,1
8,17,2,orthographic,identity,metronome_only,sneak,sneak,3,0
9,17,2,orthographic,identity,metronome_only,risk,risk,3,0
10,17,2,orthographic,identity,metronome_only,covet,silky,4,0
11,17,3,fixation,fixation,fixation,fixation,fixation,0,1
12,17,3,phonological,rhyming,cvc_only,glugh,vown,4,1
13,17,3,phonological,rhyming,cvc_only,brote,vrote,3,0
14,17,3,phonological,rhyming,cvc_only,silz,vanzy,4,0
15,17,3,phonological,rhyming,cvc_only,selay,jelay,3,0
16,17,4,fixation,fixation,fixation,fixation,fixation,0,1
17,17,4,orthographic,identity,cvc_only,goof,goof,3,1
18,17,4,orthographic,identity,cvc_only,crate,reel,4,0
19,17,4,orthographic,identity,cvc_only,ream,ream,3,0
20,17,4,orthographic,identity,cvc_only,tilts,stout,4,0
21,17,5,fixation,fixation,fixation,fixation,fixation,0,1
22,17,5,phonological,rhyming,cvc_metronome,wreash,sleash,3,1
23,17,5,phonological,rhyming,cvc_metronome,coga,lasty,4,0
24,17,5,phonological,rhyming,cvc_metronome,chis,skiel,4,0
25,17,5,phonological,rhyming,cvc_metronome,stunf,brunf,3,0
26,17,6,fixation,fixation,fixation,fixation,fixation,0,1
27,17,6,phonological,rhyming,metronome_only,yunk,viot,4,1
28,17,6,phonological,rhyming,metronome_only,whot,norty,4,0
29,17,6,phonological,rhyming,metronome_only,passy,glasy,3,0
30,17,6,phonological,rhyming,metronome_only,chun,dhun,3,0
31,17,7,fixation,fixation,fixation,fixation,fixation,0,1
32,17,7,false_font,identity,control,navy,navy,3,1
33,17,7,false_font,identity,control,smoke,wmoke,4,0
34,17,7,false_font,identity,control,flags,flags,3,0
35,17,7,false_font,identity,control,pivot,civot,4,0
36,17,8,fixation,fixation,fixation,fixation,fixation,0,1
37,17,8,orthographic,identity,cvc_metronome,high,high,3,1
38,17,8,orthographic,identity,cvc_metronome,cruel,cruel,3,0
39,17,8,orthographic,identity,cvc_metronome,hover,quirk,4,0
40,17,8,orthographic,identity,cvc_metronome,woof,sure,4,0
