trial,run,block,condition,judgement,context,word1,word2,correct_resp,instr_start
1,16,1,fixation,fixation,fixation,fixation,fixation,0,1
2,16,1,orthographic,identity,cvc_metronome,saber,chaos,4,1
3,16,1,orthographic,identity,cvc_metronome,rout,brew,4,0
4,16,1,orthographic,identity,cvc_metronome,gulf,gulf,3,0
5,16,1,orthographic,identity,cvc_metronome,mile,mile,3,0
6,16,2,fixation,fixation,fixation,fixation,fixation,0,1
7,16,2,false_font,identity,control,sword,sword,3,1
8,16,2,false_font,identity,control,bossy,fossy,4,0
9,16,2,false_font,identity,control,damn,qamn,4,0
10,16,2,false_font,identity,control,chips,chips,3,0
11,16,3,fixation,fixation,fixation,fixation,fixation,0,1
12,16,3,phonological,rhyming,metronome_only,cile,clome,4,1
13,16,3,phonological,rhyming,metronome_only,rools,gools,3,0
14,16,3,phonological,rhyming,metronome_only,morth,korth,3,0
15,16,3,phonological,rhyming,metronome_only,vease,keams,4,0
16,16,4,fixation,fixation,fixation,fixation,fixation,0,1
17,16,4,orthographic,identity,metronome_only,blaze,blaze,3,1
18,16,4,orthographic,identity,metronome_only,yawns,stag,4,0
19,16,4,orthographic,identity,metronome_only,sever,sever,3,0
20,16,4,orthographic,identity,metronome_only,shoe,tics,4,0
21,16,5,fixation,fixation,fixation,fixation,fixation,0,1
22,16,5,phonological,rhyming,cvc_only,glan,blan,3,1
23,16,5,phonological,rhyming,cvc_only,seils,calks,4,0
24,16,5,phonological,rhyming,cvc_only,vung,nani,4,0
25,16,5,phonological,rhyming,cvc_only,merky,lerky,3,0
26,16,6,fixation,fixation,fixation,fixation,fixation,0,1
27,16,6,false_font,identity,control,sool,wool,4,1
28,16,6,false_font,identity,control,wost,wost,3,0
29,16,6,false_font,identity,control,blave,blave,3,0
30,16,6,false_font,identity,control,prip,krip,4,0
31,16,7,fixation,fixation,fixation,fixation,fixation,0,1
32,16,7,phonological,rhyming,cvc_metronome,beacs,gitt,4,1
33,16,7,phonological,rhyming,cvc_metronome,vril,cril,3,0
34,16,7,phonological,rhyming,cvc_metronome,blee,tlee,3,0
35,16,7,phonological,rhyming,cvc_metronome,birks,turch,4,0
36,16,8,fixation,fixation,fixation,fixation,fixation,0,1
37,16,8,orthographic,identity,cvc_only,neat,neat,3,1
38,16,8,orthographic,identity,cvc_only,shift,gusts,4,0
39,16,8,orthographic,identity,cvc_only,blur,couch,4,0
40,16,8,orthographic,identity,cvc_only,boats,boats,3,0
