trial,run,block,condition,judgement,context,word1,word2,correct_resp,instr_start
1,12,1,fixation,fixation,fixation,fixation,fixation,0,1
2,12,1,orthographic,identity,cvc_metronome,swing,smoke,4,1
3,12,1,orthographic,identity,cvc_metronome,trial,size,4,0
4,12,1,orthographic,identity,cvc_metronome,sewn,sewn,3,0
5,12,1,orthographic,identity,cvc_metronome,skin,skin,3,0
6,12,2,fixation,fixation,fixation,fixation,fixation,0,1
7,12,2,false_font,identity,control,freet,freet,3,1
8,12,2,false_font,identity,control,dica,fica,4,0
9,12,2,false_font,identity,control,vange,wange,4,0
10,12,2,false_font,identity,control,bicks,bicks,3,0
11,12,3,fixation,fixation,fixation,fixation,fixation,0,1
12,12,3,phonological,rhyming,metronome_only,vath,clire,4,1
13,12,3,phonological,rhyming,metronome_only,moost,noost,3,0
14,12,3,phonological,rhyming,metronome_only,haro,baro,3,0
15,12,3,phonological,rhyming,metronome_only,shik,morny,4,0
16,12,4,fixation,fixation,fixation,fixation,fixation,0,1
17,12,4,orthographic,identity,metronome_only,halo,halo,3,1
18,12,4,orthographic,identity,metronome_only,loans,hoof,4,0
19,12,4,orthographic,identity,metronome_only,goat,goat,3,0
20,12,4,orthographic,identity,metronome_only,lazy,built,4,0
21,12,5,fixation,fixation,fixation,fixation,fixation,0,1
22,12,5,phonological,rhyming,cvc_only,breg,treg,3,1
23,12,5,phonological,rhyming,cvc_only,gewer,vorm,4,0
24,12,5,phonological,rhyming,cvc_only,looth,tamfs,4,0
25,12,5,phonological,rhyming,cvc_only,gret,rhet,3,0
26,12,6,fixation,fixation,fixation,fixation,fixation,0,1
27,12,6,false_font,identity,control,fury,bury,4,1
28,12,6,false_font,identity,control,burps,burps,3,0
29,12,6,false_font,identity,control,thug,thug,3,0
30,12,6,false_font,identity,control,debt,kebt,4,0
31,12,7,fixation,fixation,fixation,fixation,fixation,0,1
32,12,7,phonological,rhyming,cvc_metronome,selor,mort,4,1
33,12,7,phonological,rhyming,cvc_metronome,frow,krow,3,0
34,12,7,phonological,rhyming,cvc_metronome,stots,vlots,3,0
35,12,7,phonological,rhyming,cvc_metronome,shaf,teve,4,0
36,12,8,fixation,fixation,fixation,fixation,fixation,0,1
37,12,8,orthographic,identity,cvc_only,vowel,vowel,3,1
38,12,8,orthographic,identity,cvc_only,lawn,hurt,4,0
39,12,8,orthographic,identity,cvc_only,brick,swabs,4,0
40,12,8,orthographic,identity,cvc_only,scum,scum,3,0
