trial,run,block,condition,judgement,context,word1,word2,correct_resp,instr_start
1,9,1,fixation,fixation,fixation,fixation,fixation,0,1
2,9,1,orthographic,identity,cvc_metronome,duet,mania,4,1
3,9,1,orthographic,identity,cvc_metronome,routs,taste,4,0
4,9,1,orthographic,identity,cvc_metronome,grab,grab,3,0
5,9,1,orthographic,identity,cvc_metronome,soil,soil,3,0
6,9,2,fixation,fixation,fixation,fixation,fixation,0,1
7,9,2,false_font,identity,control,toads,toads,3,1
8,9,2,false_font,identity,control,soup,aoup,4,0
9,9,2,false_font,identity,control,tombs,zombs,4,0
10,9,2,false_font,identity,control,quip,quip,3,0
11,9,3,fixation,fixation,fixation,fixation,fixation,0,1
12,9,3,phonological,rhyming,metronome_only,thal,frook,4,1
13,9,3,phonological,rhyming,metronome_only,fizer,nizer,3,0
14,9,3,phonological,rhyming,metronome_only,vuss,nuss,3,0
15,9,3,phonological,rhyming,metronome_only,navek,klaws,4,0
16,9,4,fixation,fixation,fixation,fixation,fixation,0,1
17,9,4,orthographic,identity,metronome_only,tubes,tubes,3,1
18,9,4,orthographic,identity,metronome_only,lease,tomb,4,0
19,9,4,orthographic,identity,metronome_only,scale,scale,3,0
20,9,4,orthographic,identity,metronome_only,husky,crew,4,0
21,9,5,fixation,fixation,fixation,fixation,fixation,0,1
22,9,5,phonological,rhyming,cvc_only,sool,mool,3,1
23,9,5,phonological,rhyming,cvc_only,slem,vuse,4,0
24,9,5,phonological,rhyming,cvc_only,gungs,loth,4,0
25,9,5,phonological,rhyming,cvc_only,blom,vlom,3,0
26,9,6,fixation,fixation,fixation,fixation,fixation,0,1
27,9,6,false_font,identity,control,plake,klake,4,1
28,9,6,false_font,identity,control,hasp,hasp,3,0
29,9,6,false_font,identity,control,blits,blits,3,0
30,9,6,false_font,identity,control,chipe,hhipe,4,0
31,9,7,fixation,fixation,fixation,fixation,fixation,0,1
32,9,7,phonological,rhyming,cvc_metronome,ciell,farvs,4,1
33,9,7,phonological,rhyming,cvc_metronome,bearn,vearn,3,0
34,9,7,phonological,rhyming,cvc_metronome,rasy,blasy,3,0
35,9,7,phonological,rhyming,cvc_metronome,vural,slih,4,0
36,9,8,fixation,fixation,fixation,fixation,fixation,0,1
37,9,8,orthographic,identity,cvc_only,join,join,3,1
38,9,8,orthographic,identity,cvc_only,birth,hint,4,0
39,9,8,orthographic,identity,cvc_only,arts,knot,4,0
40,9,8,orthographic,identity,cvc_only,monk,monk,3,0
