trial,run,block,condition,judgement,context,word1,word2,correct_resp,instr_start
1,4,1,fixation,fixation,fixation,fixation,fixation,0,1
2,4,1,false_font,identity,control,hoax,hoax,3,1
3,4,1,false_font,identity,control,hairy,hairy,3,0
4,4,1,false_font,identity,control,kegs,pegs,4,0
5,4,1,false_font,identity,control,curb,lurb,4,0
6,4,2,fixation,fixation,fixation,fixation,fixation,0,1
7,4,2,orthographic,identity,metronome_only,fairy,hoax,4,1
8,4,2,orthographic,identity,metronome_only,jeer,jeer,3,0
9,4,2,orthographic,identity,metronome_only,crick,crick,3,0
10,4,2,orthographic,identity,metronome_only,feats,hobo,4,0
11,4,3,fixation,fixation,fixation,fixation,fixation,0,1
12,4,3,phonological,rhyming,cvc_only,wouse,sowel,4,1
13,4,3,phonological,rhyming,cvc_only,atose,otose,3,0
14,4,3,phonological,rhyming,cvc_only,niss,yure,4,0
15,4,3,phonological,rhyming,cvc_only,veirs,keirs,3,0
16,4,4,fixation,fixation,fixation,fixation,fixation,0,1
17,4,4,orthographic,identity,cvc_only,grass,grass,3,1
18,4,4,orthographic,identity,cvc_only,safer,tool,4,0
19,4,4,orthographic,identity,cvc_only,hair,hair,3,0
20,4,4,orthographic,identity,cvc_only,bomb,crab,4,0
21,4,5,fixation,fixation,fixation,fixation,fixation,0,1
22,4,5,phonological,rhyming,cvc_metronome,zoir,koir,3,1
23,4,5,phonological,rhyming,cvc_metronome,tilo,hoan,4,0
24,4,5,phonological,rhyming,cvc_metronome,obly,masf,4,0
25,4,5,phonological,rhyming,cvc_metronome,muke,huke,3,0
26,4,6,fixation,fixation,fixation,fixation,fixation,0,1
27,4,6,phonological,rhyming,metronome_only,tro,kront,4,1
28,4,6,phonological,rhyming,metronome_only,crove,trem,4,0
29,4,6,phonological,rhyming,metronome_only,fints,rints,3,0
30,4,6,phonological,rhyming,metronome_only,alhen,olhen,3,0
31,4,7,fixation,fixation,fixation,fixation,fixation,0,1
32,4,7,false_font,identity,control,nappy,nappy,3,1
33,4,7,false_font,identity,control,squad,bquad,4,0
34,4,7,false_font,identity,control,sulk,sulk,3,0
35,4,7,false_font,identity,control,huge,luge,4,0
36,4,8,fixation,fixation,fixation,fixation,fixation,0,1
37,4,8,orthographic,identity,cvc_metronome,keen,keen,3,1
38,4,8,orthographic,identity,cvc_metronome,lion,lion,3,0
39,4,8,orthographic,identity,cvc_metronome,quilt,film,4,0
40,4,8,orthographic,identity,cvc_metronome,knots,gust,4,0
