trial,run,block,condition,judgement,context,word1,word2,correct_resp,instr_start
1,16,1,fixation,fixation,fixation,fixation,fixation,0,1
2,16,1,orthographic,identity,cvc_metronome,flea,stab,4,1
3,16,1,orthographic,identity,cvc_metronome,taxi,oath,4,0
4,16,1,orthographic,identity,cvc_metronome,short,short,3,0
5,16,1,orthographic,identity,cvc_metronome,jolts,jolts,3,0
6,16,2,fixation,fixation,fixation,fixation,fixation,0,1
7,16,2,false_font,identity,control,gems,gems,3,1
8,16,2,false_font,identity,control,chaos,whaos,4,0
9,16,2,false_font,identity,control,samba,damba,4,0
10,16,2,false_font,identity,control,bunny,bunny,3,0
11,16,3,fixation,fixation,fixation,fixation,fixation,0,1
12,16,3,phonological,rhyming,metronome_only,halg,sraft,4,1
13,16,3,phonological,rhyming,metronome_only,chack,klack,3,0
14,16,3,phonological,rhyming,metronome_only,vully,rully,3,0
15,16,3,phonological,rhyming,metronome_only,jarl,grebs,4,0
16,16,4,fixation,fixation,fixation,fixation,fixation,0,1
17,16,4,orthographic,identity,metronome_only,baggy,baggy,3,1
18,16,4,orthographic,identity,metronome_only,stove,rants,4,0
19,16,4,orthographic,identity,metronome_only,know,know,3,0
20,16,4,orthographic,identity,metronome_only,begun,stall,4,0
21,16,5,fixation,fixation,fixation,fixation,fixation,0,1
22,16,5,phonological,rhyming,cvc_only,brilt,bilt,3,1
23,16,5,phonological,rhyming,cvc_only,goun,velk,4,0
24,16,5,phonological,rhyming,cvc_only,zars,twarm,4,0
25,16,5,phonological,rhyming,cvc_only,fench,lench,3,0
26,16,6,fixation,fixation,fixation,fixation,fixation,0,1
27,16,6,false_font,identity,control,mings,rings,4,1
28,16,6,false_font,identity,control,zall,zall,3,0
29,16,6,false_font,identity,control,reats,reats,3,0
30,16,6,false_font,identity,control,poars,uoars,4,0
31,16,7,fixation,fixation,fixation,fixation,fixation,0,1
32,16,7,phonological,rhyming,cvc_metronome,swark,larm,4,1
33,16,7,phonological,rhyming,cvc_metronome,trabe,krabe,3,0
34,16,7,phonological,rhyming,cvc_metronome,brove,slove,3,0
35,16,7,phonological,rhyming,cvc_metronome,sefs,fora,4,0
36,16,8,fixation,fixation,fixation,fixation,fixation,0,1
37,16,8,orthographic,identity,cvc_only,bull,bull,3,1
38,16,8,orthographic,identity,cvc_only,slick,faint,4,0
39,16,8,orthographic,identity,cvc_only,gibes,cooky,4,0
40,16,8,orthographic,identity,cvc_only,tooth,tooth,3,0
