trial,run,block,condition,judgement,context,word1,word2,correct_resp,instr_start
1,10,1,fixation,fixation,fixation,fixation,fixation,0,1
2,10,1,phonological,rhyming,cvc_only,lasf,tez,4,1
3,10,1,phonological,rhyming,cvc_only,twite,swite,3,0
4,10,1,phonological,rhyming,cvc_only,zokel,rokel,3,0
5,10,1,phonological,rhyming,cvc_only,reag,srole,4,0
6,10,2,fixation,fixation,fixation,fixation,fixation,0,1
7,10,2,false_font,identity,control,dosey,dosey,3,1
8,10,2,false_font,identity,control,yarry,aarry,4,0
9,10,2,false_font,identity,control,dovet,zovet,4,0
10,10,2,false_font,identity,control,litch,litch,3,0
11,10,3,fixation,fixation,fixation,fixation,fixation,0,1
12,10,3,phonological,rhyming,metronome_only,zeak,loir,4,1
13,10,3,phonological,rhyming,metronome_only,smoth,zull,4,0
14,10,3,phonological,rhyming,metronome_only,vange,kange,3,0
15,10,3,phonological,rhyming,metronome_only,pramf,svamf,3,0
16,10,4,fixation,fixation,fixation,fixation,fixation,0,1
17,10,4,orthographic,identity,metronome_only,snake,reams,4,1
18,10,4,orthographic,identity,metronome_only,jury,jury,3,0
19,10,4,orthographic,identity,metronome_only,jolt,chore,4,0
20,10,4,orthographic,identity,metronome_only,owns,owns,3,0
21,10,5,fixation,fixation,fixation,fixation,fixation,0,1
22,10,5,orthographic,identity,cvc_metronome,saint,saint,3,1
23,10,5,orthographic,identity,cvc_metronome,wolf,biro,4,0
24,10,5,orthographic,identity,cvc_metronome,birds,birds,3,0
25,10,5,orthographic,identity,cvc_metronome,think,vase,4,0
26,10,6,fixation,fixation,fixation,fixation,fixation,0,1
27,10,6,false_font,identity,control,golf,folf,4,1
28,10,6,false_font,identity,control,sift,sift,3,0
29,10,6,false_font,identity,control,lazy,uazy,4,0
30,10,6,false_font,identity,control,navy,navy,3,0
31,10,7,fixation,fixation,fixation,fixation,fixation,0,1
32,10,7,orthographic,identity,cvc_only,even,even,3,1
33,10,7,orthographic,identity,cvc_only,blew,blew,3,0
34,10,7,orthographic,identity,cvc_only,chefs,gunk,4,0
35,10,7,orthographic,identity,cvc_only,witty,grew,4,0
36,10,8,fixation,fixation,fixation,fixation,fixation,0,1
37,10,8,phonological,rhyming,cvc_metronome,wenks,renks,3,1
38,10,8,phonological,rhyming,cvc_metronome,yarry,tross,4,0
39,10,8,phonological,rhyming,cvc_metronome,breg,wern,4,0
40,10,8,phonological,rhyming,cvc_metronome,tems,zems,3,0
