trial,run,block,condition,judgement,context,word1,word2,correct_resp,instr_start
1,17,1,fixation,fixation,fixation,fixation,fixation,0,1
2,17,1,false_font,identity,control,owns,owns,3,1
3,17,1,false_font,identity,control,drown,drown,3,0
4,17,1,false_font,identity,control,chefs,mhefs,4,0
5,17,1,false_font,identity,control,dusky,jusky,4,0
6,17,2,fixation,fixation,fixation,fixation,fixation,0,1
7,17,2,orthographic,identity,metronome_only,omen,blue,4,1
8,17,2,orthographic,identity,metronome_only,trill,trill,3,0
9,17,2,orthographic,identity,metronome_only,chick,chick,3,0
10,17,2,orthographic,identity,metronome_only,vests,giver,4,0
11,17,3,fixation,fixation,fixation,fixation,fixation,0,1
12,17,3,phonological,rhyming,cvc_only,rony,seim,4,1
13,17,3,phonological,rhyming,cvc_only,malk,valk,3,0
14,17,3,phonological,rhyming,cvc_only,rasty,scook,4,0
15,17,3,phonological,rhyming,cvc_only,lolls,yolls,3,0
16,17,4,fixation,fixation,fixation,fixation,fixation,0,1
17,17,4,orthographic,identity,cvc_only,rules,rules,3,1
18,17,4,orthographic,identity,cvc_only,verge,coma,4,0
19,17,4,orthographic,identity,cvc_only,jean,jean,3,0
20,17,4,orthographic,identity,cvc_only,lofts,scar,4,0
21,17,5,fixation,fixation,fixation,fixation,fixation,0,1
22,17,5,phonological,rhyming,cvc_metronome,slers,krers,3,1
23,17,5,phonological,rhyming,cvc_metronome,dosey,nosts,4,0
24,17,5,phonological,rhyming,cvc_metronome,thove,firen,4,0
25,17,5,phonological,rhyming,cvc_metronome,hoony,truny,3,0
26,17,6,fixation,fixation,fixation,fixation,fixation,0,1
27,17,6,phonological,rhyming,metronome_only,hoose,clurl,4,1
28,17,6,phonological,rhyming,metronome_only,allet,wray,4,0
29,17,6,phonological,rhyming,metronome_only,fusty,custy,3,0
30,17,6,phonological,rhyming,metronome_only,hith,nith,3,0
31,17,7,fixation,fixation,fixation,fixation,fixation,0,1
32,17,7,false_font,identity,control,furl,furl,3,1
33,17,7,false_font,identity,control,husky,dusky,4,0
34,17,7,false_font,identity,control,dupe,dupe,3,0
35,17,7,false_font,identity,control,lurks,gurks,4,0
36,17,8,fixation,fixation,fixation,fixation,fixation,0,1
37,17,8,orthographic,identity,cvc_metronome,blase,blase,3,1
38,17,8,orthographic,identity,cvc_metronome,track,track,3,0
39,17,8,orthographic,identity,cvc_metronome,harm,many,4,0
40,17,8,orthographic,identity,cvc_metronome,oils,teem,4,0
