trial,run,block,condition,judgement,context,word1,word2,correct_resp,instr_start
1,17,1,fixation,fixation,fixation,fixation,fixation,0,1
2,17,1,false_font,identity,control,flake,flake,3,1
3,17,1,false_font,identity,control,shaky,shaky,3,0
4,17,1,false_font,identity,control,runny,eunny,4,0
5,17,1,false_font,identity,control,howl,powl,4,0
6,17,2,fixation,fixation,fixation,fixation,fixation,0,1
7,17,2,orthographic,identity,metronome_only,flush,moans,4,1
8,17,2,orthographic,identity,metronome_only,girl,girl,3,0
9,17,2,orthographic,identity,metronome_only,raven,raven,3,0
10,17,2,orthographic,identity,metronome_only,rusty,swim,4,0
11,17,3,fixation,fixation,fixation,fixation,fixation,0,1
12,17,3,phonological,rhyming,cvc_only,veam,jarm,4,1
13,17,3,phonological,rhyming,cvc_only,torb,worb,3,0
14,17,3,phonological,rhyming,cvc_only,freet,nort,4,0
15,17,3,phonological,rhyming,cvc_only,raken,maken,3,0
16,17,4,fixation,fixation,fixation,fixation,fixation,0,1
17,17,4,orthographic,identity,cvc_only,mayo,mayo,3,1
18,17,4,orthographic,identity,cvc_only,chum,coax,4,0
19,17,4,orthographic,identity,cvc_only,gifts,gifts,3,0
20,17,4,orthographic,identity,cvc_only,task,tanks,4,0
21,17,5,fixation,fixation,fixation,fixation,fixation,0,1
22,17,5,phonological,rhyming,cvc_metronome,kuses,luses,3,1
23,17,5,phonological,rhyming,cvc_metronome,scose,brost,4,0
24,17,5,phonological,rhyming,cvc_metronome,coor,scove,4,0
25,17,5,phonological,rhyming,cvc_metronome,chike,shike,3,0
26,17,6,fixation,fixation,fixation,fixation,fixation,0,1
27,17,6,phonological,rhyming,metronome_only,jalve,smove,4,1
28,17,6,phonological,rhyming,metronome_only,trime,wunt,4,0
29,17,6,phonological,rhyming,metronome_only,vour,gour,3,0
30,17,6,phonological,rhyming,metronome_only,hakel,nakel,3,0
31,17,7,fixation,fixation,fixation,fixation,fixation,0,1
32,17,7,false_font,identity,control,meek,meek,3,1
33,17,7,false_font,identity,control,lazy,mazy,4,0
34,17,7,false_font,identity,control,haul,haul,3,0
35,17,7,false_font,identity,control,trump,frump,4,0
36,17,8,fixation,fixation,fixation,fixation,fixation,0,1
37,17,8,orthographic,identity,cvc_metronome,coal,coal,3,1
38,17,8,orthographic,identity,cvc_metronome,fact,fact,3,0
39,17,8,orthographic,identity,cvc_metronome,airy,slur,4,0
40,17,8,orthographic,identity,cvc_metronome,rider,swine,4,0
