trial,run,block,condition,judgement,context,word1,word2,correct_resp,instr_start
1,13,1,fixation,fixation,fixation,fixation,fixation,0,1
2,13,1,phonological,rhyming,cvc_only,arns,blee,4,1
3,13,1,phonological,rhyming,cvc_only,pafek,tafek,3,0
4,13,1,phonological,rhyming,cvc_only,egect,agect,3,0
5,13,1,phonological,rhyming,cvc_only,bute,flice,4,0
6,13,2,fixation,fixation,fixation,fixation,fixation,0,1
7,13,2,false_font,identity,control,looth,looth,3,1
8,13,2,false_font,identity,control,puses,cuses,4,0
9,13,2,false_font,identity,control,joses,eoses,4,0
10,13,2,false_font,identity,control,lefit,lefit,3,0
11,13,3,fixation,fixation,fixation,fixation,fixation,0,1
12,13,3,phonological,rhyming,metronome_only,blav,gork,4,1
13,13,3,phonological,rhyming,metronome_only,vlaws,neals,4,0
14,13,3,phonological,rhyming,metronome_only,gouse,jouse,3,0
15,13,3,phonological,rhyming,metronome_only,greb,oreb,3,0
16,13,4,fixation,fixation,fixation,fixation,fixation,0,1
17,13,4,orthographic,identity,metronome_only,bowel,swans,4,1
18,13,4,orthographic,identity,metronome_only,sulk,sulk,3,0
19,13,4,orthographic,identity,metronome_only,coals,glue,4,0
20,13,4,orthographic,identity,metronome_only,ever,ever,3,0
21,13,5,fixation,fixation,fixation,fixation,fixation,0,1
22,13,5,orthographic,identity,cvc_metronome,crown,crown,3,1
23,13,5,orthographic,identity,cvc_metronome,faker,farm,4,0
24,13,5,orthographic,identity,cvc_metronome,moss,moss,3,0
25,13,5,orthographic,identity,cvc_metronome,films,veer,4,0
26,13,6,fixation,fixation,fixation,fixation,fixation,0,1
27,13,6,false_font,identity,control,tiker,siker,4,1
28,13,6,false_font,identity,control,gungs,gungs,3,0
29,13,6,false_font,identity,control,horks,rorks,4,0
30,13,6,false_font,identity,control,pafed,pafed,3,0
31,13,7,fixation,fixation,fixation,fixation,fixation,0,1
32,13,7,orthographic,identity,cvc_only,tyro,tyro,3,1
33,13,7,orthographic,identity,cvc_only,lyre,lyre,3,0
34,13,7,orthographic,identity,cvc_only,furl,skim,4,0
35,13,7,orthographic,identity,cvc_only,tasty,slink,4,0
36,13,8,fixation,fixation,fixation,fixation,fixation,0,1
37,13,8,phonological,rhyming,cvc_metronome,vicy,licy,3,1
38,13,8,phonological,rhyming,cvc_metronome,vrus,talf,4,0
39,13,8,phonological,rhyming,cvc_metronome,neaf,shrease,4,0
40,13,8,phonological,rhyming,cvc_metronome,jerse,yerse,3,0
