trial,run,block,condition,judgement,context,word1,word2,correct_resp,instr_start
1,15,1,fixation,fixation,fixation,fixation,fixation,0,1
2,15,1,orthographic,identity,cvc_metronome,wool,saga,4,1
3,15,1,orthographic,identity,cvc_metronome,carve,snags,4,0
4,15,1,orthographic,identity,cvc_metronome,howls,howls,3,0
5,15,1,orthographic,identity,cvc_metronome,hulk,hulk,3,0
6,15,2,fixation,fixation,fixation,fixation,fixation,0,1
7,15,2,false_font,identity,control,toga,toga,3,1
8,15,2,false_font,identity,control,ruel,duel,4,0
9,15,2,false_font,identity,control,forks,works,4,0
10,15,2,false_font,identity,control,surfs,surfs,3,0
11,15,3,fixation,fixation,fixation,fixation,fixation,0,1
12,15,3,phonological,rhyming,metronome_only,leny,wrem,4,1
13,15,3,phonological,rhyming,metronome_only,vetty,metty,3,0
14,15,3,phonological,rhyming,metronome_only,zynt,synt,3,0
15,15,3,phonological,rhyming,metronome_only,laul,snash,4,0
16,15,4,fixation,fixation,fixation,fixation,fixation,0,1
17,15,4,orthographic,identity,metronome_only,brink,brink,3,1
18,15,4,orthographic,identity,metronome_only,stew,jokes,4,0
19,15,4,orthographic,identity,metronome_only,soak,soak,3,0
20,15,4,orthographic,identity,metronome_only,flats,fangs,4,0
21,15,5,fixation,fixation,fixation,fixation,fixation,0,1
22,15,5,phonological,rhyming,cvc_only,miet,biet,3,1
23,15,5,phonological,rhyming,cvc_only,als,stoot,4,0
24,15,5,phonological,rhyming,cvc_only,gunt,tounk,4,0
25,15,5,phonological,rhyming,cvc_only,viec,riec,3,0
26,15,6,fixation,fixation,fixation,fixation,fixation,0,1
27,15,6,false_font,identity,control,potes,dotes,4,1
28,15,6,false_font,identity,control,graw,graw,3,0
29,15,6,false_font,identity,control,fouse,fouse,3,0
30,15,6,false_font,identity,control,pural,qural,4,0
31,15,7,fixation,fixation,fixation,fixation,fixation,0,1
32,15,7,phonological,rhyming,cvc_metronome,klaw,fopes,4,1
33,15,7,phonological,rhyming,cvc_metronome,hoan,foan,3,0
34,15,7,phonological,rhyming,cvc_metronome,swant,frant,3,0
35,15,7,phonological,rhyming,cvc_metronome,tilf,banf,4,0
36,15,8,fixation,fixation,fixation,fixation,fixation,0,1
37,15,8,orthographic,identity,cvc_only,aunt,aunt,3,1
38,15,8,orthographic,identity,cvc_only,slob,cozy,4,0
39,15,8,orthographic,identity,cvc_only,toga,howl,4,0
40,15,8,orthographic,identity,cvc_only,earn,earn,3,0
