trial,run,block,condition,judgement,context,word1,word2,correct_resp,instr_start
1,14,1,fixation,fixation,fixation,fixation,fixation,0,1
2,14,1,false_font,identity,control,spurt,spurt,3,1
3,14,1,false_font,identity,control,jeeps,jeeps,3,0
4,14,1,false_font,identity,control,goof,roof,4,0
5,14,1,false_font,identity,control,jump,pump,4,0
6,14,2,fixation,fixation,fixation,fixation,fixation,0,1
7,14,2,orthographic,identity,metronome_only,golf,raft,4,1
8,14,2,orthographic,identity,metronome_only,break,break,3,0
9,14,2,orthographic,identity,metronome_only,fair,fair,3,0
10,14,2,orthographic,identity,metronome_only,watt,town,4,0
11,14,3,fixation,fixation,fixation,fixation,fixation,0,1
12,14,3,phonological,rhyming,cvc_only,staw,shig,4,1
13,14,3,phonological,rhyming,cvc_only,nunge,crunge,3,0
14,14,3,phonological,rhyming,cvc_only,meaf,rolks,4,0
15,14,3,phonological,rhyming,cvc_only,nary,zary,3,0
16,14,4,fixation,fixation,fixation,fixation,fixation,0,1
17,14,4,orthographic,identity,cvc_only,glove,glove,3,1
18,14,4,orthographic,identity,cvc_only,shoes,leaf,4,0
19,14,4,orthographic,identity,cvc_only,verb,verb,3,0
20,14,4,orthographic,identity,cvc_only,loft,fury,4,0
21,14,5,fixation,fixation,fixation,fixation,fixation,0,1
22,14,5,phonological,rhyming,cvc_metronome,litch,fitch,3,1
23,14,5,phonological,rhyming,cvc_metronome,vung,leax,4,0
24,14,5,phonological,rhyming,cvc_metronome,elome,nutch,4,0
25,14,5,phonological,rhyming,cvc_metronome,galo,zalo,3,0
26,14,6,fixation,fixation,fixation,fixation,fixation,0,1
27,14,6,phonological,rhyming,metronome_only,slea,temo,4,1
28,14,6,phonological,rhyming,metronome_only,raks,synk,4,0
29,14,6,phonological,rhyming,metronome_only,hela,sela,3,0
30,14,6,phonological,rhyming,metronome_only,nanse,ranse,3,0
31,14,7,fixation,fixation,fixation,fixation,fixation,0,1
32,14,7,false_font,identity,control,flars,flars,3,1
33,14,7,false_font,identity,control,ragi,qagi,4,0
34,14,7,false_font,identity,control,alhen,alhen,3,0
35,14,7,false_font,identity,control,moost,boost,4,0
36,14,8,fixation,fixation,fixation,fixation,fixation,0,1
37,14,8,orthographic,identity,cvc_metronome,june,july,3,1
38,14,8,orthographic,identity,cvc_metronome,stool,stool,3,0
39,14,8,orthographic,identity,cvc_metronome,trim,lucky,4,0
40,14,8,orthographic,identity,cvc_metronome,sheer,house,4,0
