trial,run,block,condition,judgement,context,word1,word2,correct_resp,instr_start
1,5,1,fixation,fixation,fixation,fixation,fixation,0,1
2,5,1,phonological,rhyming,cvc_only,munc,fanty,4,1
3,5,1,phonological,rhyming,cvc_only,yant,vant,3,0
4,5,1,phonological,rhyming,cvc_only,rovet,zovet,3,0
5,5,1,phonological,rhyming,cvc_only,sedge,bule,4,0
6,5,2,fixation,fixation,fixation,fixation,fixation,0,1
7,5,2,false_font,identity,control,guilt,guilt,3,1
8,5,2,false_font,identity,control,size,eize,4,0
9,5,2,false_font,identity,control,husks,fusks,4,0
10,5,2,false_font,identity,control,heir,heir,3,0
11,5,3,fixation,fixation,fixation,fixation,fixation,0,1
12,5,3,phonological,rhyming,metronome_only,geel,kraze,4,1
13,5,3,phonological,rhyming,metronome_only,stogh,wouth,4,0
14,5,3,phonological,rhyming,metronome_only,sleed,thal,3,0
15,5,3,phonological,rhyming,metronome_only,runa,muna,3,0
16,5,4,fixation,fixation,fixation,fixation,fixation,0,1
17,5,4,orthographic,identity,metronome_only,feels,goons,4,1
18,5,4,orthographic,identity,metronome_only,fool,fool,3,0
19,5,4,orthographic,identity,metronome_only,herb,train,4,0
20,5,4,orthographic,identity,metronome_only,plate,plate,3,0
21,5,5,fixation,fixation,fixation,fixation,fixation,0,1
22,5,5,orthographic,identity,cvc_metronome,brawl,brawl,3,1
23,5,5,orthographic,identity,cvc_metronome,hurry,touch,4,0
24,5,5,orthographic,identity,cvc_metronome,aged,aged,3,0
25,5,5,orthographic,identity,cvc_metronome,thin,thaw,4,0
26,5,6,fixation,fixation,fixation,fixation,fixation,0,1
27,5,6,false_font,identity,control,jolt,kolt,4,1
28,5,6,false_font,identity,control,tyro,tyro,3,0
29,5,6,false_font,identity,control,scuff,pcuff,4,0
30,5,6,false_font,identity,control,sweep,sweep,3,0
31,5,7,fixation,fixation,fixation,fixation,fixation,0,1
32,5,7,orthographic,identity,cvc_only,mutt,mutt,3,1
33,5,7,orthographic,identity,cvc_only,rule,rule,3,0
34,5,7,orthographic,identity,cvc_only,stay,than,4,0
35,5,7,orthographic,identity,cvc_only,tube,busy,4,0
36,5,8,fixation,fixation,fixation,fixation,fixation,0,1
37,5,8,phonological,rhyming,cvc_metronome,vages,nages,3,1
38,5,8,phonological,rhyming,cvc_metronome,teels,fark,4,0
39,5,8,phonological,rhyming,cvc_metronome,blease,seaf,4,0
40,5,8,phonological,rhyming,cvc_metronome,glash,snash,3,0
