trial,run,block,condition,judgement,context,word1,word2,correct_resp,instr_start
1,16,1,fixation,fixation,fixation,fixation,fixation,0,1
2,16,1,orthographic,identity,metronome_only,short,short,3,1
3,16,1,orthographic,identity,metronome_only,stove,rants,4,0
4,16,1,orthographic,identity,metronome_only,taxi,oath,4,0
5,16,1,orthographic,identity,metronome_only,flea,stab,4,0
6,16,2,fixation,fixation,fixation,fixation,fixation,0,1
7,16,2,phonological,rhyming,cvc_only,glugh,vown,4,1
8,16,2,phonological,rhyming,cvc_only,silz,vanzy,4,0
9,16,2,phonological,rhyming,cvc_only,brote,vrote,3,0
10,16,2,phonological,rhyming,cvc_only,selay,jelay,3,0
11,16,3,fixation,fixation,fixation,fixation,fixation,0,1
12,16,3,orthographic,identity,cvc_only,skirt,honey,4,1
13,16,3,orthographic,identity,cvc_only,risk,risk,3,0
14,16,3,orthographic,identity,cvc_only,sneak,sneak,3,0
15,16,3,orthographic,identity,cvc_only,covet,silky,4,0
16,16,4,fixation,fixation,fixation,fixation,fixation,0,1
17,16,4,orthographic,identity,cvc_metronome,felt,felt,3,1
18,16,4,orthographic,identity,cvc_metronome,sexes,sexes,3,0
19,16,4,orthographic,identity,cvc_metronome,laser,vein,4,0
20,16,4,orthographic,identity,cvc_metronome,haul,haul,3,0
21,16,5,fixation,fixation,fixation,fixation,fixation,0,1
22,16,5,phonological,rhyming,metronome_only,gools,mools,3,1
23,16,5,phonological,rhyming,metronome_only,sman,menk,4,0
24,16,5,phonological,rhyming,metronome_only,anif,flark,4,0
25,16,5,phonological,rhyming,metronome_only,hasf,lirs,4,0
26,16,6,fixation,fixation,fixation,fixation,fixation,0,1
27,16,6,false_font,identity,control,gems,gems,3,1
28,16,6,false_font,identity,control,mings,rings,4,0
29,16,6,false_font,identity,control,samba,damba,4,0
30,16,6,false_font,identity,control,chaos,whaos,4,0
31,16,7,fixation,fixation,fixation,fixation,fixation,0,1
32,16,7,phonological,rhyming,cvc_metronome,halg,sraft,4,1
33,16,7,phonological,rhyming,cvc_metronome,brilt,bilt,3,0
34,16,7,phonological,rhyming,cvc_metronome,chack,klack,3,0
35,16,7,phonological,rhyming,cvc_metronome,vully,rully,3,0
36,16,8,fixation,fixation,fixation,fixation,fixation,0,1
37,16,8,false_font,identity,control,navy,navy,3,1
38,16,8,false_font,identity,control,duns,duns,3,0
39,16,8,false_font,identity,control,smoke,wmoke,4,0
40,16,8,false_font,identity,control,flags,flags,3,0
