trial,run,block,condition,judgement,context,word1,word2,correct_resp,instr_start
1,10,1,fixation,fixation,fixation,fixation,fixation,0,1
2,10,1,orthographic,identity,cvc_only,chefs,gunk,4,1
3,10,1,orthographic,identity,cvc_only,witty,grew,4,0
4,10,1,orthographic,identity,cvc_only,milky,tongs,4,0
5,10,1,orthographic,identity,cvc_only,firm,firm,3,0
6,10,2,fixation,fixation,fixation,fixation,fixation,0,1
7,10,2,phonological,rhyming,metronome_only,reag,srole,4,1
8,10,2,phonological,rhyming,metronome_only,twite,swite,3,0
9,10,2,phonological,rhyming,metronome_only,zeak,loir,4,0
10,10,2,phonological,rhyming,metronome_only,lasf,tez,4,0
11,10,3,fixation,fixation,fixation,fixation,fixation,0,1
12,10,3,phonological,rhyming,cvc_metronome,breg,wern,4,1
13,10,3,phonological,rhyming,cvc_metronome,yarry,tross,4,0
14,10,3,phonological,rhyming,cvc_metronome,slake,trake,3,0
15,10,3,phonological,rhyming,cvc_metronome,voar,koar,3,0
16,10,4,fixation,fixation,fixation,fixation,fixation,0,1
17,10,4,phonological,rhyming,cvc_only,haro,baro,3,1
18,10,4,phonological,rhyming,cvc_only,moost,noost,3,0
19,10,4,phonological,rhyming,cvc_only,breg,treg,3,0
20,10,4,phonological,rhyming,cvc_only,wost,turl,4,0
21,10,5,fixation,fixation,fixation,fixation,fixation,0,1
22,10,5,orthographic,identity,cvc_metronome,skin,skin,3,1
23,10,5,orthographic,identity,cvc_metronome,sewn,sewn,3,0
24,10,5,orthographic,identity,cvc_metronome,sweet,wish,4,0
25,10,5,orthographic,identity,cvc_metronome,halo,halo,3,0
26,10,6,fixation,fixation,fixation,fixation,fixation,0,1
27,10,6,orthographic,identity,metronome_only,jury,jury,3,1
28,10,6,orthographic,identity,metronome_only,snake,reams,4,0
29,10,6,orthographic,identity,metronome_only,jolt,chore,4,0
30,10,6,orthographic,identity,metronome_only,owns,owns,3,0
31,10,7,fixation,fixation,fixation,fixation,fixation,0,1
32,10,7,false_font,identity,control,duct,nuct,4,1
33,10,7,false_font,identity,control,knots,knots,3,0
34,10,7,false_font,identity,control,drunk,prunk,4,0
35,10,7,false_font,identity,control,cube,rube,4,0
36,10,8,fixation,fixation,fixation,fixation,fixation,0,1
37,10,8,false_font,identity,control,dosey,dosey,3,1
38,10,8,false_font,identity,control,sift,sift,3,0
39,10,8,false_font,identity,control,litch,litch,3,0
40,10,8,false_font,identity,control,yarry,aarry,4,0
