trial,run,block,condition,judgement,context,word1,word2,correct_resp,instr_start
1,15,1,fixation,fixation,fixation,fixation,fixation,0,1
2,15,1,phonological,rhyming,metronome_only,raks,synk,4,1
3,15,1,phonological,rhyming,metronome_only,hela,sela,3,0
4,15,1,phonological,rhyming,metronome_only,slea,temo,4,0
5,15,1,phonological,rhyming,metronome_only,nanse,ranse,3,0
6,15,2,fixation,fixation,fixation,fixation,fixation,0,1
7,15,2,phonological,rhyming,cvc_metronome,jerse,yerse,3,1
8,15,2,phonological,rhyming,cvc_metronome,vicy,licy,3,0
9,15,2,phonological,rhyming,cvc_metronome,neaf,shrease,4,0
10,15,2,phonological,rhyming,cvc_metronome,greb,oreb,3,0
11,15,3,fixation,fixation,fixation,fixation,fixation,0,1
12,15,3,orthographic,identity,cvc_only,slob,cozy,4,1
13,15,3,orthographic,identity,cvc_only,toga,howl,4,0
14,15,3,orthographic,identity,cvc_only,aunt,aunt,3,0
15,15,3,orthographic,identity,cvc_only,earn,earn,3,0
16,15,4,fixation,fixation,fixation,fixation,fixation,0,1
17,15,4,false_font,identity,control,spurt,spurt,3,1
18,15,4,false_font,identity,control,jump,pump,4,0
19,15,4,false_font,identity,control,jeeps,jeeps,3,0
20,15,4,false_font,identity,control,pafed,pafed,3,0
21,15,5,fixation,fixation,fixation,fixation,fixation,0,1
22,15,5,orthographic,identity,cvc_metronome,lyre,lyre,3,1
23,15,5,orthographic,identity,cvc_metronome,furl,skim,4,0
24,15,5,orthographic,identity,cvc_metronome,films,veer,4,0
25,15,5,orthographic,identity,cvc_metronome,tasty,slink,4,0
26,15,6,fixation,fixation,fixation,fixation,fixation,0,1
27,15,6,false_font,identity,control,potes,dotes,4,1
28,15,6,false_font,identity,control,fouse,fouse,3,0
29,15,6,false_font,identity,control,pural,qural,4,0
30,15,6,false_font,identity,control,graw,graw,3,0
31,15,7,fixation,fixation,fixation,fixation,fixation,0,1
32,15,7,orthographic,identity,metronome_only,stool,stool,3,1
33,15,7,orthographic,identity,metronome_only,sheer,house,4,0
34,15,7,orthographic,identity,metronome_only,june,july,3,0
35,15,7,orthographic,identity,metronome_only,verb,verb,3,0
36,15,8,fixation,fixation,fixation,fixation,fixation,0,1
37,15,8,phonological,rhyming,cvc_only,gunt,tounk,4,1
38,15,8,phonological,rhyming,cvc_only,swant,frant,3,0
39,15,8,phonological,rhyming,cvc_only,tilf,banf,4,0
40,15,8,phonological,rhyming,cvc_only,klaw,fopes,4,0
