trial,run,block,condition,judgement,context,word1,word2,correct_resp,instr_start
1,5,1,fixation,fixation,fixation,fixation,fixation,0,1
2,5,1,orthographic,identity,cvc_only,knots,gust,4,1
3,5,1,orthographic,identity,cvc_only,aged,aged,3,0
4,5,1,orthographic,identity,cvc_only,feels,goons,4,0
5,5,1,orthographic,identity,cvc_only,quilt,film,4,0
6,5,2,fixation,fixation,fixation,fixation,fixation,0,1
7,5,2,phonological,rhyming,cvc_metronome,sedge,bule,4,1
8,5,2,phonological,rhyming,cvc_metronome,sleed,thal,3,0
9,5,2,phonological,rhyming,cvc_metronome,vages,nages,3,0
10,5,2,phonological,rhyming,cvc_metronome,runa,muna,3,0
11,5,3,fixation,fixation,fixation,fixation,fixation,0,1
12,5,3,phonological,rhyming,metronome_only,wouse,sowel,4,1
13,5,3,phonological,rhyming,metronome_only,tilo,hoan,4,0
14,5,3,phonological,rhyming,metronome_only,muke,huke,3,0
15,5,3,phonological,rhyming,metronome_only,niss,yure,4,0
16,5,4,fixation,fixation,fixation,fixation,fixation,0,1
17,5,4,false_font,identity,control,hairy,hairy,3,1
18,5,4,false_font,identity,control,kegs,pegs,4,0
19,5,4,false_font,identity,control,nappy,nappy,3,0
20,5,4,false_font,identity,control,curb,lurb,4,0
21,5,5,fixation,fixation,fixation,fixation,fixation,0,1
22,5,5,false_font,identity,control,husks,fusks,4,1
23,5,5,false_font,identity,control,size,eize,4,0
24,5,5,false_font,identity,control,jolt,kolt,4,0
25,5,5,false_font,identity,control,howls,howls,3,0
26,5,6,fixation,fixation,fixation,fixation,fixation,0,1
27,5,6,phonological,rhyming,cvc_only,quarf,ralve,4,1
28,5,6,phonological,rhyming,cvc_only,chot,whot,3,0
29,5,6,phonological,rhyming,cvc_only,treal,cheal,3,0
30,5,6,phonological,rhyming,cvc_only,iola,koor,4,0
31,5,7,fixation,fixation,fixation,fixation,fixation,0,1
32,5,7,orthographic,identity,cvc_metronome,grass,grass,3,1
33,5,7,orthographic,identity,cvc_metronome,crick,crick,3,0
34,5,7,orthographic,identity,cvc_metronome,fairy,hoax,4,0
35,5,7,orthographic,identity,cvc_metronome,feats,hobo,4,0
36,5,8,fixation,fixation,fixation,fixation,fixation,0,1
37,5,8,orthographic,identity,metronome_only,whey,whey,3,1
38,5,8,orthographic,identity,metronome_only,snob,snob,3,0
39,5,8,orthographic,identity,metronome_only,noon,noon,3,0
40,5,8,orthographic,identity,metronome_only,tube,busy,4,0
